Pose					roll		pitch		yaw		translation_x	translation_y	translation_z
-----------------------------------------------------------------------------------------------------
Pose 108:	   0.56118	   0.00097	   0.26955	       -0.06761	       -0.05063	       -0.02050
Pose 109:	   0.56117	   0.00097	   0.26967	       -0.06789	       -0.05054	       -0.02046
Pose 110:	   0.56118	   0.00115	   0.26965	       -0.06831	       -0.05040	       -0.02036
Pose 111:	   0.56117	   0.00132	   0.26965	       -0.06878	       -0.05025	       -0.02027
Pose 112:	   0.56122	   0.00159	   0.26966	       -0.06954	       -0.05015	       -0.02003
Pose 113:	   0.56130	   0.00176	   0.26959	       -0.06990	       -0.05008	       -0.01995
Pose 114:	   0.56138	   0.00199	   0.26945	       -0.07028	       -0.04998	       -0.01987
Pose 115:	   0.56150	   0.00220	   0.26939	       -0.07081	       -0.04895	       -0.01982
Pose 116:	   0.56152	   0.00221	   0.26943	       -0.07088	       -0.04886	       -0.01981
Pose 117:	   0.56168	   0.00239	   0.26929	       -0.07109	       -0.04881	       -0.01977
Pose 118:	   0.56170	   0.00241	   0.26930	       -0.07114	       -0.04883	       -0.01973
Pose 119:	   0.56181	   0.00254	   0.26912	       -0.07118	       -0.04876	       -0.01983
Pose 120:	   0.56194	   0.00272	   0.26906	       -0.07157	       -0.04882	       -0.01980
Pose 121:	   0.56201	   0.00281	   0.26895	       -0.07164	       -0.04876	       -0.01993
Pose 122:	   0.56205	   0.00289	   0.26898	       -0.07192	       -0.04876	       -0.01987
Pose 123:	   0.56212	   0.00305	   0.26891	       -0.07215	       -0.04867	       -0.01991
Pose 124:	   0.56208	   0.00303	   0.26900	       -0.07218	       -0.04865	       -0.01988
Pose 125:	   0.56210	   0.00302	   0.26899	       -0.07220	       -0.04852	       -0.01996
Pose 126:	   0.56211	   0.00306	   0.26903	       -0.07229	       -0.04851	       -0.01988
Pose 127:	   0.56211	   0.00306	   0.26902	       -0.07230	       -0.04838	       -0.01993
Pose 128:	   0.56213	   0.00313	   0.26901	       -0.07239	       -0.04836	       -0.01983
Pose 129:	   0.56213	   0.00313	   0.26901	       -0.07239	       -0.04836	       -0.01983
Pose 130:	   0.56220	   0.00327	   0.26897	       -0.07260	       -0.04821	       -0.01985
Pose 131:	   0.56229	   0.00341	   0.26887	       -0.07280	       -0.04805	       -0.01996
Pose 132:	   0.56228	   0.00342	   0.26888	       -0.07282	       -0.04800	       -0.01992
Pose 133:	   0.56234	   0.00351	   0.26891	       -0.07312	       -0.04783	       -0.02008
Pose 134:	   0.56234	   0.00352	   0.26891	       -0.07313	       -0.04780	       -0.02008
Pose 135:	   0.56254	   0.00367	   0.26850	       -0.07257	       -0.04788	       -0.01995
Pose 136:	   0.56254	   0.00368	   0.26850	       -0.07259	       -0.04785	       -0.01994
Pose 137:	   0.56254	   0.00369	   0.26849	       -0.07258	       -0.04766	       -0.01998
Pose 138:	   0.56252	   0.00367	   0.26852	       -0.07261	       -0.04747	       -0.02001
Pose 139:	   0.56250	   0.00367	   0.26853	       -0.07283	       -0.04610	       -0.02012
Pose 140:	   0.56249	   0.00367	   0.26853	       -0.07282	       -0.04591	       -0.02017
Pose 141:	   0.56257	   0.00391	   0.26844	       -0.07303	       -0.04586	       -0.01992
Pose 142:	   0.56257	   0.00392	   0.26843	       -0.07301	       -0.04584	       -0.01992
Pose 143:	   0.56256	   0.00395	   0.26847	       -0.07312	       -0.04570	       -0.01995
Pose 144:	   0.56251	   0.00376	   0.26860	       -0.07288	       -0.04575	       -0.02009
Pose 145:	   0.56258	   0.00389	   0.26850	       -0.07302	       -0.04561	       -0.02012
Pose 146:	   0.56258	   0.00388	   0.26853	       -0.07299	       -0.04562	       -0.02011
Pose 147:	   0.56262	   0.00398	   0.26853	       -0.07323	       -0.04549	       -0.02017
Pose 148:	   0.56261	   0.00386	   0.26861	       -0.07320	       -0.04553	       -0.02031
Pose 149:	   0.56261	   0.00387	   0.26861	       -0.07325	       -0.04537	       -0.02040
Pose 150:	   0.56260	   0.00386	   0.26863	       -0.07322	       -0.04537	       -0.02041
Pose 151:	   0.56260	   0.00386	   0.26863	       -0.07322	       -0.04537	       -0.02041
Pose 152:	   0.56267	   0.00398	   0.26868	       -0.07365	       -0.04522	       -0.02069
Pose 153:	   0.56267	   0.00398	   0.26868	       -0.07365	       -0.04522	       -0.02069
Pose 154:	   0.56270	   0.00403	   0.26871	       -0.07384	       -0.04506	       -0.02084
Pose 155:	   0.56270	   0.00403	   0.26871	       -0.07384	       -0.04506	       -0.02084
Pose 156:	   0.56276	   0.00414	   0.26877	       -0.07414	       -0.04493	       -0.02102
Pose 157:	   0.56282	   0.00426	   0.26880	       -0.07449	       -0.04481	       -0.02107
Pose 158:	   0.56283	   0.00429	   0.26880	       -0.07456	       -0.04479	       -0.02114
Pose 159:	   0.56283	   0.00429	   0.26880	       -0.07458	       -0.04464	       -0.02115
Pose 160:	   0.56284	   0.00433	   0.26879	       -0.07464	       -0.04457	       -0.02124
Pose 161:	   0.56294	   0.00449	   0.26878	       -0.07508	       -0.04445	       -0.02123
Pose 162:	   0.56294	   0.00449	   0.26878	       -0.07508	       -0.04445	       -0.02123
